system:index,Aspect,CHIRPS,Elevation,Location,Slope,VH,VV,end_date,start_date,.geo
0_0,139.6133745871758,300.99355149269104,236.0,Location_1,7.665874222714592,-15.184529021647398,-9.392434093919151,2024-02,2024-01,"{""type"":""Point"",""coordinates"":[113.60427920000001,-8.134669899999999]}"
0_1,68.40797772666235,162.09182333946228,70.0,Location_2,1.6797781934946283,-15.064176380459523,-5.027408769166926,2024-02,2024-01,"{""type"":""Point"",""coordinates"":[114.29116100000002,-8.342823]}"
0_2,45.304474033477646,162.09182333946228,79.0,Location_3,0.4395568771173697,-15.37555740458116,-7.163000377588709,2024-02,2024-01,"{""type"":""Point"",""coordinates"":[114.28189500000002,-8.338908]}"
0_3,171.78568612872394,181.53967428207397,233.0,Location_4,2.185517983132315,-14.25492767690737,-7.015466780209246,2024-02,2024-01,"{""type"":""Point"",""coordinates"":[114.23823400000002,-8.267071]}"
0_4,180.0,184.937664270401,109.0,Location_5,0.3091606457115311,-14.120680132825756,-7.755172474840763,2024-02,2024-01,"{""type"":""Point"",""coordinates"":[114.28938500000001,-8.271245]}"
0_5,68.40797772666235,162.09182333946228,70.0,Location_6,1.6797781934946283,-15.064176380459523,-5.027408769166926,2024-02,2024-01,"{""type"":""Point"",""coordinates"":[114.29116100000002,-8.342823]}"
0_6,45.304474033477646,162.09182333946228,79.0,Location_7,0.4395568771173697,-15.37555740458116,-7.163000377588709,2024-02,2024-01,"{""type"":""Point"",""coordinates"":[114.28189500000002,-8.338908]}"
0_7,171.78568612872394,181.53967428207397,233.0,Location_8,2.185517983132315,-14.25492767690737,-7.015466780209246,2024-02,2024-01,"{""type"":""Point"",""coordinates"":[114.23823400000002,-8.267071]}"
0_8,180.0,184.937664270401,109.0,Location_9,0.3091606457115311,-14.120680132825756,-7.755172474840763,2024-02,2024-01,"{""type"":""Point"",""coordinates"":[114.28938500000001,-8.271245]}"
0_9,180.0,276.04253005981445,164.0,Location_10,4.934382819919896,-14.602558000718995,-7.262294426146016,2024-02,2024-01,"{""type"":""Point"",""coordinates"":[113.5869116,-8.153924099999998]}"
0_10,220.89779506421254,181.53967428207397,204.0,Location_11,2.8607063617062263,-12.005230799669969,-7.524308550746034,2024-02,2024-01,"{""type"":""Point"",""coordinates"":[114.24600000000001,-8.274598]}"
0_11,220.89779506421254,181.53967428207397,204.0,Location_12,2.8607063617062263,-12.005230799669969,-7.524308550746034,2024-02,2024-01,"{""type"":""Point"",""coordinates"":[114.24600000000001,-8.274598]}"
0_12,153.1878777126713,184.39801740646362,98.0,Location_13,0.6927773745580736,-15.698315151241983,-10.366771054652913,2024-02,2024-01,"{""type"":""Point"",""coordinates"":[114.2269212,-8.384463799999999]}"
0_13,153.1878777126713,184.39801740646362,98.0,Location_14,0.6927773745580736,-15.698315151241983,-10.366771054652913,2024-02,2024-01,"{""type"":""Point"",""coordinates"":[114.2269212,-8.384463799999999]}"
0_14,283.8948225338734,234.9496693611145,57.0,Location_15,1.2872125149473868,-15.453039698185966,-9.591179471633202,2024-02,2024-01,"{""type"":""Point"",""coordinates"":[113.6879561,-8.304029700000001]}"
0_15,201.99765668173697,325.0202260017395,487.0,Location_16,6.638892831344314,-15.662179625029664,-9.25469427403525,2024-02,2024-01,"{""type"":""Point"",""coordinates"":[113.7439643,-8.0476887]}"
0_16,127.58026339554648,162.09182333946228,81.0,Location_17,3.543996274955329,-18.617252917658046,-11.459956468999723,2024-02,2024-01,"{""type"":""Point"",""coordinates"":[114.28659600000002,-8.338384]}"
