system:index,Aspect,CHIRPS,Elevation,Location,Slope,VH,VV,end_date,start_date,.geo
0_0,-0.0,294.40490436553955,44.0,Location_1,0.6183032897835913,-17.789264207259624,-11.11497538050702,2023-02,2023-01,"{""type"":""Point"",""coordinates"":[113.65720620000002,-8.313155300000002]}"
0_1,116.33446659220105,338.7859616279602,266.0,Location_2,2.089850901038106,-16.231606198705762,-10.816201916280132,2023-02,2023-01,"{""type"":""Point"",""coordinates"":[113.6747281,-8.126344999999999]}"
0_2,314.7057583502736,327.52479124069214,58.0,Location_3,0.43947756285042366,-17.419974252875697,-10.604994157545049,2023-02,2023-01,"{""type"":""Point"",""coordinates"":[113.6137447,-8.197671]}"
0_3,341.3869406815779,324.07419776916504,49.0,Location_4,0.9785849663451829,-20.466673103162982,-9.22776586257012,2023-02,2023-01,"{""type"":""Point"",""coordinates"":[113.6176363,-8.216875]}"
0_4,342.7317649810321,320.3000831604004,241.0,Location_5,4.2012926098746,-19.26479355831048,-11.030045276786014,2023-02,2023-01,"{""type"":""Point"",""coordinates"":[113.82875100000001,-8.182679]}"
0_5,225.29496238243846,307.2826771736145,51.0,Location_6,1.757415728114417,-21.46498357199775,-9.935487857474534,2023-02,2023-01,"{""type"":""Point"",""coordinates"":[113.5896353,-8.2080691]}"
0_6,311.6961834279905,320.3000831604004,189.0,Location_7,4.175625155866827,-17.53539702334475,-13.012503088536508,2023-02,2023-01,"{""type"":""Point"",""coordinates"":[113.8081422,-8.177860699999998]}"
0_7,116.32880262836593,276.6263904571533,14.0,Location_8,1.3938555197636913,-16.50126276259906,-9.501514814113868,2023-02,2023-01,"{""type"":""Point"",""coordinates"":[113.3701317,-8.225525499999998]}"
0_8,296.32640228826835,312.5391082763672,91.0,Location_9,0.69708989864968,-17.403030203752934,-11.319002925983792,2023-02,2023-01,"{""type"":""Point"",""coordinates"":[113.7229582,-8.2671464]}"
0_9,134.70647819244212,348.5208020210266,68.0,Location_10,1.3182091732554821,-12.00612174948248,-7.817702678574673,2023-02,2023-01,"{""type"":""Point"",""coordinates"":[113.67391240000002,-8.187615000000001]}"
