system:index,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,B8A_median,B8_median,date,name,.geo
0_0,1270.0,1347.0,1237.0,1576.0,2409.0,2927.0,3165.0,2655.0,2024-01,Location_1,"{""type"":""Point"",""coordinates"":[113.65720620000002,-8.313155300000002]}"
0_1,1024.0,1250.0,1134.0,1725.0,2815.0,3254.0,3446.0,3197.0,2024-01,Location_2,"{""type"":""Point"",""coordinates"":[113.6747281,-8.126344999999999]}"
0_2,447.0,758.5,792.0,1194.5,2043.0,2436.5,2462.0,2289.5,2024-01,Location_3,"{""type"":""Point"",""coordinates"":[113.6137447,-8.197671]}"
0_3,672.0,983.0,1070.0,1386.5,1889.0,2146.0,2289.5,2148.5,2024-01,Location_4,"{""type"":""Point"",""coordinates"":[113.6176363,-8.216875]}"
0_4,600.5,793.0,741.5,1241.5,2140.0,2400.0,2631.5,2183.5,2024-01,Location_5,"{""type"":""Point"",""coordinates"":[113.82875100000001,-8.182679]}"
0_5,606.0,894.5,952.5,1295.5,1721.5,1889.5,1972.5,1821.0,2024-01,Location_6,"{""type"":""Point"",""coordinates"":[113.5896353,-8.2080691]}"
0_6,422.0,599.5,490.0,900.5,2197.0,2663.0,2730.5,2561.0,2024-01,Location_7,"{""type"":""Point"",""coordinates"":[113.8081422,-8.177860699999998]}"
0_7,844.0,1002.0,926.0,1402.0,2310.0,2555.0,2890.0,2377.0,2024-01,Location_8,"{""type"":""Point"",""coordinates"":[113.3701317,-8.225525499999998]}"
0_8,314.0,477.0,306.5,647.5,2143.5,3057.5,3273.0,2983.0,2024-01,Location_9,"{""type"":""Point"",""coordinates"":[113.7229582,-8.2671464]}"
0_9,223.0,521.0,325.0,958.0,2718.5,3411.0,3637.5,3295.5,2024-01,Location_10,"{""type"":""Point"",""coordinates"":[113.67391240000002,-8.187615000000001]}"
0_10,341.5,557.0,447.0,810.5,2017.5,2590.5,2650.5,2541.5,2024-01,Location_11,"{""type"":""Point"",""coordinates"":[113.7965366,-8.175959100000002]}"
0_11,1048.0,1374.0,1255.5,1736.5,3300.0,4088.5,4299.5,3711.5,2024-01,Location_12,"{""type"":""Point"",""coordinates"":[113.7441651,-8.277093100000002]}"
0_12,583.5,787.5,585.0,1073.0,2875.0,3707.0,4108.0,3668.5,2024-01,Location_13,"{""type"":""Point"",""coordinates"":[113.42911420000001,-8.200798]}"
0_13,1071.5,1500.5,1383.5,1842.0,2794.0,3094.0,3145.5,2610.5,2024-01,Location_14,"{""type"":""Point"",""coordinates"":[113.83707750000002,-8.184898900000002]}"
0_14,943.0,999.0,935.5,1496.0,2518.5,3023.5,3326.0,2835.0,2024-01,Location_15,"{""type"":""Point"",""coordinates"":[113.8164785,-8.180156499999999]}"
0_15,524.0,679.5,511.5,868.0,2302.5,3298.0,3484.5,3160.5,2024-01,Location_16,"{""type"":""Point"",""coordinates"":[113.39371410000001,-8.1667321]}"
0_16,467.5,769.5,709.0,1182.0,1880.0,2218.5,2227.0,2188.0,2024-01,Location_17,"{""type"":""Point"",""coordinates"":[113.60988470000001,-8.172183400000002]}"
0_17,621.0,848.0,668.0,1039.5,2283.5,2795.0,2975.5,2708.5,2024-01,Location_18,"{""type"":""Point"",""coordinates"":[113.475095,-8.1777618]}"
0_18,1239.0,1321.5,1218.0,1642.0,1990.0,2067.0,2241.0,2308.5,2024-01,Location_19,"{""type"":""Point"",""coordinates"":[113.5530802,-8.2102692]}"
0_19,610.0,871.0,768.0,1267.0,2542.0,3117.0,3472.0,3177.0,2024-01,Location_20,"{""type"":""Point"",""coordinates"":[113.40884,-8.1342059]}"
0_20,541.0,747.0,534.0,961.0,2577.0,3505.5,3675.5,3342.5,2024-01,Location_21,"{""type"":""Point"",""coordinates"":[113.3968056,-8.1601068]}"
0_21,608.0,889.0,956.0,1551.5,2747.0,3290.5,3563.0,3260.5,2024-01,Location_22,"{""type"":""Point"",""coordinates"":[113.61495810000001,-8.205405]}"
0_22,830.5,1069.0,873.5,1404.0,2725.0,3182.0,3314.0,3048.5,2024-01,Location_23,"{""type"":""Point"",""coordinates"":[113.3846016,-8.189551200000002]}"
0_23,1408.0,1448.0,1210.0,1604.0,2493.0,2896.0,2985.0,2883.0,2024-01,Location_24,"{""type"":""Point"",""coordinates"":[113.3426857,-8.2945359]}"
0_24,349.5,683.0,467.5,1066.0,2627.0,3374.0,3565.5,3364.5,2024-01,Location_25,"{""type"":""Point"",""coordinates"":[113.61235770000002,-8.185245699999996]}"
0_25,908.0,1098.0,856.0,1473.0,3544.0,4237.0,4425.0,4255.0,2024-01,Location_26,"{""type"":""Point"",""coordinates"":[113.67423320000002,-8.117306700000002]}"
0_26,505.0,727.0,573.0,1000.0,2193.0,2893.0,3192.0,2682.0,2024-01,Location_27,"{""type"":""Point"",""coordinates"":[113.41868480000001,-8.103948100000002]}"
