system:index,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,B8A_median,B8_median,date,name,.geo
0_0,392.0,654.5,381.0,869.5,2909.0,3943.0,4153.5,3767.5,2024-01,Location_1,"{""type"":""Point"",""coordinates"":[113.58901680000001,-8.1857279]}"
0_1,1533.5,1790.0,1554.0,2065.0,3794.5,4608.0,4777.0,4364.0,2024-01,Location_2,"{""type"":""Point"",""coordinates"":[113.7398625,-8.3679883]}"
0_2,707.0,911.0,732.0,1298.0,2908.0,3450.0,3681.0,3309.0,2024-01,Location_3,"{""type"":""Point"",""coordinates"":[113.4271599,-8.0869809]}"
0_3,616.0,1006.0,680.5,1343.5,3439.5,3973.5,4180.5,3865.0,2024-01,Location_4,"{""type"":""Point"",""coordinates"":[113.7848458,-8.174720900000002]}"
0_4,409.5,677.0,446.5,1064.0,2617.5,3216.5,3425.5,3124.5,2024-01,Location_5,"{""type"":""Point"",""coordinates"":[113.7331134,-8.2720625]}"
0_5,407.5,700.5,465.5,1030.5,2942.5,3819.0,4059.5,3609.0,2024-01,Location_6,"{""type"":""Point"",""coordinates"":[113.59003130000002,-8.195598600000002]}"
0_6,667.5,934.5,1113.0,1440.0,2034.0,2264.5,2401.0,2210.0,2024-01,Location_7,"{""type"":""Point"",""coordinates"":[113.7496935,-8.2425728]}"
0_7,511.5,786.5,522.0,1086.5,2926.0,3792.5,4028.0,3683.5,2024-01,Location_8,"{""type"":""Point"",""coordinates"":[113.6080524,-8.1448339]}"
0_8,248.0,546.5,285.5,973.5,3144.5,4239.5,4646.0,4244.0,2024-01,Location_9,"{""type"":""Point"",""coordinates"":[113.67497800000001,-8.1956235]}"
0_9,466.5,839.5,551.0,1119.5,3463.5,4370.5,4633.0,4198.0,2024-01,Location_10,"{""type"":""Point"",""coordinates"":[113.7422956,-8.2389905]}"
0_10,722.5,879.5,849.0,1181.0,2565.5,3083.0,3118.5,2989.5,2024-01,Location_11,"{""type"":""Point"",""coordinates"":[113.758578,-8.113303]}"
0_11,4954.0,4774.0,4710.0,5259.0,5809.0,6079.0,6324.0,5923.0,2024-01,Location_12,"{""type"":""Point"",""coordinates"":[113.6962649,-8.3182875]}"
